idx,q2,q3,q4,q5,q6,q7,phi2,phi3,phi4,phi5,phi6,phi7,CT0,CT1,CT2,CT3,CT4,COAlpha0,COBeta0,COAlpha1,COBeta1,COAlpha2,COBeta2,COAlpha3,COBeta3,COAlpha4,COBeta4,CbetaAlpha0,CbetaBeta0,CbetaAlpha1,CbetaBeta1,CbetaAlpha2,CbetaBeta2,CbetaAlpha3,CbetaBeta3,CbetaAlpha4,CbetaBeta4,EndoT0,EndoT1,EndoT2,EndoT3,EndoT4,EndoT5,EndoT6,EndoT7,EndoT8,EndoT9,EndoT10,EndoT11,EndoT12,EndoT13,EndoT14,Cbeta0ExoT,Cbeta1ExoT,Cbeta2ExoT,Cbeta3ExoT,Cbeta4ExoT,CO0ExoT,CO1ExoT,CO2ExoT,CO3ExoT,CO4ExoT,Eccentricity
10,1.405353560794132,0.8724076738826977,0.24730544274162594,1.1940130969498752,0.4137278851804151,0.2684623137543289,-3.0481220740990516,-2.288105664769136,-1.5732076950830227,-2.0323159598098886,1.1305412189841924,2.8604328561217893,0.031050266820523427,0.18394905817758936,-0.01787048819248476,-0.0588567315864357,3.1287262172775376,2.6143820646751403,1.6818893029477224,1.8806865298417532,0.5832283928561117,2.32542364669393,0.21189078142664303,2.317017704661478,0.3849627981213781,0.6928471211323558,-3.134957262163517,1.5026057137815956,-0.4174037299522161,0.17100843229022317,0.46748541377172387,0.9328298189878851,-0.05223327282101356,1.415549932160119,0.2772775064383312,1.8083744890358244,-0.4731476304875085,2.7701118616267957,-1.1141085201401377,-0.3721560656027487,2.6729374953745273,-2.607611924829593,-0.3268054520907756,2.335079990674832,-2.732349906901949,0.25775325300931584,1.4795990183414394,-2.08306901408923,-3.1397571220083966,-1.3574367470855626,-1.416726665486756,-0.2312537728342634,3.119806550979501,1.6198128118575843,1.5304064198672696,2.1580579595775102,2.6568596346182587,-0.4281253594419186,-0.5552643136083784,-0.8649188803777362,-1.5953335794160646,1.7081175926629628,0.5973806163521302
11,1.3648834108790564,0.9452821648377432,0.2997363381870777,1.2013348613218735,0.27270990148239244,0.3051960649981302,-2.522902379521114,2.6329596784906952,0.9185251750467328,-2.020254562084176,-1.4905437472738965,-2.1971113868576446,-0.06393306042090377,3.0423233865951134,0.056985144066100994,0.09471592154552017,0.01377255044099672,2.6070843741362815,0.37362045854137005,0.5656469394870037,-2.600878440750233,2.8199933184915134,0.8422440348081461,1.9126627721684135,0.673657103606627,2.0645738837318155,0.10776217833941756,1.672035134695769,0.3997473559764866,1.5000186279509133,-0.4069738983509764,1.5362596687113974,-0.22775767765556726,0.10352010054527537,-0.7570601356909743,0.8471394193350518,0.06695380491088741,1.4821945260607272,-2.1210861818257962,-2.9974994762479676,-0.8940755746462394,-1.7701565069884173,0.00031624542320719085,2.3504811591018293,-1.4157571526124324,-0.08173826223561402,2.7929017578383837,-2.6551789117272295,-0.18930290543584963,2.1225416804580504,-2.547456217544974,-0.04121809778120038,2.0679742558755154,2.339709759277476,2.8742195329808062,1.550227827614345,1.7106869647459633,-1.6511105432510695,2.208332584594051,-0.846724171711302,-0.37666220802923217,-1.0304332702045131,0.6254536535453407
12,2.713287287269215,1.0831968318959442,0.683578039497786,0.694446926419376,0.4743565317591427,0.30153676936754614,-0.14482187494717283,-1.2453167671077148,2.196665927639848,-1.9096054522906973,-0.18308987009925565,0.15772322996282187,2.9938497261586674,3.0718430996736967,3.0922531282577155,0.012224101216201778,-0.09592815836559378,0.4488360153490784,-1.3765308869651036,2.307299613465975,-1.7091738702990693,0.9498784875105697,-1.244141153010263,2.268040764910414,0.30892110503196213,2.7540255561635,0.44921471548221514,2.0301954445868584,-0.27970168617691477,2.972794341389784,1.801271568551612,1.1030640191393284,-0.2557364580812955,0.8758793427096973,0.3355378747314329,1.7808227173950584,0.36046210800174455,-0.9204653691999829,1.209629223178818,-2.950232549648758,1.1634480579666266,-1.344523594359245,2.997762102465359,0.029151551762273874,-1.5476019416827693,0.07593056188797945,2.334921819908768,-2.6812076014602866,-0.11332312809276184,1.4495411383003556,-2.5714404784281,-3.1235906982271415,-0.9712489588903217,2.839652295527329,2.5734726413609392,1.5662649507061268,1.6053219078097056,2.1923521258421292,-1.9383196201253343,3.120175873244192,-0.783875887804162,-1.6991968662239165,0.4887525876129168
13,2.337343142745813,1.2040320280087038,0.36434990147079205,1.1043844654989832,0.28756681960836944,0.30474163535709514,1.5982970727323111,-2.183676185850275,-1.7738023256879394,-1.8973747254476774,3.1215104020012503,1.8955319022553898,-0.05062648473311268,0.08838815633944537,3.134073818128331,-0.06025471050376972,2.9736407134353238,2.654951416314865,0.2542423269663472,2.4683673017747827,0.4405721361685138,0.7459739041004689,-2.762262795414362,2.870409010868504,-0.46324741042251766,0.7298875129709744,-1.0638794387374997,0.9975094767428517,-0.1537962908648117,1.4700276586107484,0.42569966123960423,1.0837660113880074,-0.536676648865161,2.312893208153343,0.752430468505585,1.1202708599042244,-0.15682331348627607,2.5897489772505393,-2.2831689130022794,-0.125378169348438,1.4580241579767557,-2.04359555545686,-2.9612587338806287,-0.6537328244268499,-1.6503074831242937,-0.0582241015405926,1.1162950737572956,-2.265859428893997,-2.9689441844418996,0.16504283581456788,-1.7778251576893391,-0.022227799609401164,1.9837553876625706,2.0596805451864557,2.5299245826258647,1.9114688319398243,2.363914921030038,-0.5694947293277572,-1.7189899139533378,2.498057572089415,-2.018517577386601,-3.016801242882761,0.5505574177783871
14,1.2957771262258877,1.2736525823049203,0.30597552199327654,1.075788173616291,0.19269300636874687,0.3400783596317642,-0.22110258729373417,0.36638488809277586,-1.2317773200757436,-1.96354609220614,-0.4509252117162573,0.30748733324484384,3.123262598090422,0.15002064738955206,0.19364350865039678,0.05069893298146019,-0.17356066232221515,0.6088245560022785,-2.8719226839110243,2.789739235674688,1.2887184501170565,1.8716161647320706,0.5769204138278146,1.623457178887486,-0.014039419557338223,2.8041211453456953,0.8953741420653362,1.5174012939619936,-0.5138762307635488,1.2050350830032273,-0.24838337558814666,,,1.129190399814081,0.36702003853409115,1.7009193448199809,0.2818735044473697,-0.9500282133943678,-1.2903289570173755,-0.22721650497539697,2.7188073779236976,-1.4712720986423642,-0.02913763080001983,-3.045934335809113,-3.0835917003553526,0.054936609277936324,1.362628389498986,-2.6770064420654296,0.12210176630189132,1.7526736916536882,-2.0923602142208573,-3.0175102279622252,2.790003192922577,2.719519560095071,,1.5151629037038576,2.1310969873378096,2.1399432172380632,-0.47118172551659393,0.0750328141247544,-1.7387923447670377,-1.3361181585272135,0.47783390675966886
15,1.290817828351436,1.3248226766976223,0.31988435980662294,1.05466930839088,0.22363994052234992,0.355848865591431,-2.6704471679115707,2.8691735763393167,0.07304545010989277,-1.949695270422331,-1.6581902242209712,-2.2520153411829162,-0.09963465332084633,3.127278875715915,0.12721522491508677,0.21793705449234882,0.04140391415124364,2.823318128969289,1.1651541772661855,0.43913515089788335,-2.760365145173174,2.7715020460144304,1.5311537488987927,1.8687734996447387,0.5427391954717193,1.6311669278978935,-0.044729268158883055,1.709282440841923,0.26267741959399504,1.580232924279006,-0.5453855248224605,,,,,1.2020963723574558,0.33660663509691846,1.877895158352112,-2.28104709986756,-3.025962422442986,-0.7769240628682194,-1.2212557006576634,-0.24662591926660604,2.849893158115045,-1.447963813033316,-0.08904049563613282,-3.0341259041173148,-3.10457821693871,0.06605150401196869,1.2936569824987558,-2.5333389670490876,0.03168973941819607,1.9616682087137172,2.9088550441023218,,,1.6737881834199957,-1.2361860666669506,2.3241541352874533,-0.336908853864451,0.07546911170740928,-1.8037309596188658,0.5254695085376508
16,2.5790578034016804,0.6806029043742204,0.5531123248536857,1.0541962377858196,0.12550484612147692,0.18444902460995266,2.0063657032714977,-1.7588995297662202,-1.6527069773725078,-2.1142906454319514,2.8608251544577943,2.892048973859319,0.09789223626075869,0.06675925937939722,0.19188150101800025,0.0001940034020628707,-3.0946035208525893,2.770587345923427,0.3313792922702176,2.3968114799617797,1.081277958741236,1.550401730814933,0.11558928398631353,2.5711627764492873,2.4440290248711394,0.964613189416244,-2.8281208411612067,1.3869750248917523,0.23199603753208367,,,,,2.2094162199105147,0.21442513715770947,1.2849834825182038,-0.49017104669768224,2.2580446819451754,-2.2511824537147715,-0.1356832974611176,3.0983721624476392,-1.444929635949209,-0.11445679847889535,1.1655944988921911,-2.7399841023650597,-0.14067040304904915,2.0393082426959905,-1.2660334620532767,2.8336914490791156,-1.0117505231983352,-1.2213642439796615,-0.1077004814659037,1.988102143818734,,,3.0087700470257435,2.8534095708408467,-0.9008275407487746,-0.05625897437748913,-2.015041769339369,-1.1165478335381025,2.0535797085014424,0.6907973511018364
17,0.29451990845122666,0.13271366165618298,0.1513076635092205,1.5648075749369197,0.051353710500591156,0.03978370479636764,-2.783789885886887,0.06622973527844506,-2.9408511264032335,-2.2200762511578898,1.8378346279224533,-0.5661842354925251,0.07364767754176517,0.08200475251913578,0.1599336294721072,-0.039785776988494455,0.04321926502513295,2.3391179250631824,0.5242697816793278,2.3756116070413626,0.3058045948343958,2.254292578243424,0.5820482607219721,2.1231757896677155,0.19604474164054517,2.3295790113446717,0.45150299355756346,0.5906919165551466,-0.3132097292145913,0.9352610090359962,-0.08919167446240536,0.4402420875985014,0.09366979512852787,0.8396712871927576,-0.049778270871277806,0.7717172501128988,0.06450800853769498,2.6920643875445647,-2.2429416901258263,-0.40846887380572705,2.306795032894466,-1.8430499869646846,-0.16175767570289856,2.7444222737116473,-2.975825975595607,0.24137604486671518,1.9774428752939766,-2.162703776411569,-0.09321673431179328,2.4073841375928966,-2.2602889918034395,-0.13205778559273765,1.9658179819493047,2.3606629878513568,1.2258893153590888,2.039086654938828,1.940612775892598,-0.48206850834052983,-0.9001295606799438,-0.4480227123516988,-1.0987540119338743,-0.7514649701092222,0.5326405599383314
18,1.5653830551132688,0.9615845312644923,0.3346346211780489,1.2407301322005553,0.26247112495524466,0.3660832115765801,-1.2448049345115353,1.6246379052722129,-2.9349113809364886,-1.9728999288238789,2.4900530174774316,-1.1177812199050758,0.17974874660476112,0.04923852639723283,-0.028238514983257294,-3.1178109116335047,0.1369692778880421,2.0203100886391905,0.468706112634496,1.9256241848967621,-0.0410737870522164,2.728388652494283,1.8354561542866143,0.3325728831183295,-2.697861501998652,2.770320889003996,1.3670715172619359,0.2472575268501163,-0.8115305650297233,1.3414851398150636,0.3322976304768591,1.519541637525439,0.06650252134020292,1.6058324254540364,-0.5707947502776523,1.1373632968439236,-0.11018725110511567,2.8205199129635976,-2.597308431230332,0.08575613632120023,1.4220414721877406,-2.220622060000308,-0.2626510677542075,2.393248892770229,-2.38611014643771,3.052259775352593,-0.6912190780306159,-1.1578190163793907,-0.14533860963791714,2.8033540274855273,-1.860745023712202,-0.09171090050149153,1.6327665260621993,1.9826603310694313,1.8082252102144116,2.9891487974240345,2.370181324296875,-0.3687325784069805,-1.638360389154979,-0.7849711904310605,2.4206943854920118,-0.3898252318661639,0.6718190266265748
19,1.7672754498234293,0.07524018464150785,1.0223332900712754,0.9198460950888941,0.4850737321250662,0.2879997517514265,0.7717857865643565,-1.8760507610853676,-0.9554378493065849,-1.2839373217319998,1.5761113876600144,-0.5697349999468919,-3.014970599850032,0.05194416617957141,0.14058671240694934,3.097592816276112,-3.089887201951959,0.38176500734591723,-0.36076196363868784,2.6996531105396766,1.3939879250744516,1.920446320632282,0.256205424662359,1.0956872725205415,2.917907696754371,0.601105069441323,-1.2540715600578627,1.7355222782504016,-0.106469243836981,,,1.0543652035927633,0.5019982244154179,2.855434144887196,-1.7837889932442605,2.1554421104882113,0.0023169990818578405,-0.3527406580046084,-1.9189061460523413,0.15775372463915888,2.9268149719506225,-1.8575557185831872,-0.07683344103387187,1.533309666697567,-1.895281263384989,-2.92661596602384,3.1354642229153966,-0.8892312144003641,2.5177649864959677,-1.0348748168641762,-1.8012409153294189,2.937503896119457,2.2190727945200326,,2.2583067105752117,-2.968404103145091,2.279093659382079,2.8657420237922095,-0.20995810714510846,-1.6021985708670317,-0.007995405302365912,2.115933650159971,0.694206541685149
